1;Andalucía;8500000;96;NULL;andaluz;andaluza;1;NULL;1;"INSERT INTO Regiones VALUES (1,'Andalucía',8500000,96,NULL,'andaluz','andaluza',1,NULL,1);"
2;Aragón;1300000;28;NULL;maño;maña;1;NULL;1;"INSERT INTO Regiones VALUES (2,'Aragón',1300000,28,NULL,'maño','maña',1,NULL,1);"
3;Asturias, Principado de;1000000;98;NULL;asturiano;asturiana;1;NULL;1;"INSERT INTO Regiones VALUES (3,'Asturias, Principado de',1000000,98,NULL,'asturiano','asturiana',1,NULL,1);"
4;Balears, Illes;1100000;231;25;balear;balear;1;4;1;"INSERT INTO Regiones VALUES (4,'Balears, Illes',1100000,231,25,'balear','balear',1,4,1);"
5;Canarias;2100000;289;NULL;canario;canaria;1;NULL;1;"INSERT INTO Regiones VALUES (5,'Canarias',2100000,289,NULL,'canario','canaria',1,NULL,1);"
6;Cantabria;500000;109;NULL;cántabro;cántabra;1;NULL;1;"INSERT INTO Regiones VALUES (6,'Cantabria',500000,109,NULL,'cántabro','cántabra',1,NULL,1);"
7;Castilla y León;2400000;26;NULL;castellano-leonés;castellano-leonés;1;NULL;1;"INSERT INTO Regiones VALUES (7,'Castilla y León',2400000,26,NULL,'castellano-leonés','castellano-leonés',1,NULL,1);"
8;Castilla - La Mancha;2000000;26;NULL;castellano-manchego;castellano-manchega;1;NULL;1;"INSERT INTO Regiones VALUES (8,'Castilla - La Mancha',2000000,26,NULL,'castellano-manchego','castellano-manchega',1,NULL,1);"
9;Cataluña;7440000;232;30;catalán;catalana;1;4;1;"INSERT INTO Regiones VALUES (9,'Cataluña',7440000,232,30,'catalán','catalana',1,4,1);"
10;Comunitat Valenciana;4930000;212;70;valenciano;valenciana;1;4;1;"INSERT INTO Regiones VALUES (10,'Comunitat Valenciana',4930000,212,70,'valenciano','valenciana',1,4,1);"
11;Extremadura;1000000;26;NULL;extremeño;extremeña;1;NULL;1;"INSERT INTO Regiones VALUES (11,'Extremadura',1000000,26,NULL,'extremeño','extremeña',1,NULL,1);"
12;Galicia;2710000;92;70;gallego;gallega;1;5;1;"INSERT INTO Regiones VALUES (12,'Galicia',2710000,92,70,'gallego','gallega',1,5,1);"
13;Madrid, Comunidad de;6475000;807;NULL;madrileño;madrileña;1;NULL;1;"INSERT INTO Regiones VALUES (13,'Madrid, Comunidad de',6475000,807,NULL,'madrileño','madrileña',1,NULL,1);"
14;Murcia, Región de;1470000;130;NULL;murciano;murciana;1;NULL;1;"INSERT INTO Regiones VALUES (14,'Murcia, Región de',1470000,130,NULL,'murciano','murciana',1,NULL,1);"
15;Navarra, Comunidad Foral de;640000;62;50;navarro;navarra;1;2;1;"INSERT INTO Regiones VALUES (15,'Navarra, Comunidad Foral de',640000,62,50,'navarro','navarra',1,2,1);"
16;País Vasco;2160000;300;40;vasco;vasca;1;2;1;"INSERT INTO Regiones VALUES (16,'País Vasco',2160000,300,40,'vasco','vasca',1,2,1);"
17;Rioja, La;31200;62;NULL;riojano;riojana;1;NULL;1;"INSERT INTO Regiones VALUES (17,'Rioja, La',31200,62,NULL,'riojano','riojana',1,NULL,1);"
18;Ceuta;85000;4255;NULL;ceutí;ceutí;1;NULL;1;"INSERT INTO Regiones VALUES (18,'Ceuta',85000,4255,NULL,'ceutí','ceutí',1,NULL,1);"
19;Melilla;85000;7093;NULL;melillense;melillense;1;NULL;1;"INSERT INTO Regiones VALUES (19,'Melilla',85000,7093,NULL,'melillense','melillense',1,NULL,1);"
